2020-04-17 14:30:01.290 [Thread-2] INFO  ServerWorker - New command ADD_IF_MIN from /127.0.0.1:65309.
2020-04-17 14:30:01.290 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.290 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.291 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.291 [Thread-2] INFO  ServerWorker - New command INFO from /127.0.0.1:65309.
2020-04-17 14:30:01.291 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.291 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.291 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.292 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:65309.
2020-04-17 14:30:01.293 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.293 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.293 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.294 [Thread-2] INFO  ServerWorker - New command ADD_IF_MIN from /127.0.0.1:65309.
2020-04-17 14:30:01.295 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.295 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.295 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.296 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:65309.
2020-04-17 14:30:01.297 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.297 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.297 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.298 [Thread-2] INFO  ServerWorker - New command HELP from /127.0.0.1:65309.
2020-04-17 14:30:01.298 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.298 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.298 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.299 [Thread-2] INFO  ServerWorker - New command HELP from /127.0.0.1:65309.
2020-04-17 14:30:01.299 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.299 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.299 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.300 [Thread-2] INFO  ServerWorker - New command SHOW from /127.0.0.1:65309.
2020-04-17 14:30:01.300 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.300 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.300 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.302 [Thread-2] INFO  ServerWorker - New command ADD_IF_MIN from /127.0.0.1:65309.
2020-04-17 14:30:01.302 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.302 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.303 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.307 [Thread-2] INFO  ServerWorker - New command ADD from /127.0.0.1:65309.
2020-04-17 14:30:01.307 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.307 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.307 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.308 [Thread-2] INFO  ServerWorker - New command CHECK from /127.0.0.1:65309.
2020-04-17 14:30:01.308 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.308 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.308 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.311 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:65309.
2020-04-17 14:30:01.312 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.312 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.312 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.313 [Thread-2] INFO  ServerWorker - New command CHECK from /127.0.0.1:65309.
2020-04-17 14:30:01.313 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.313 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.313 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.318 [Thread-2] INFO  ServerWorker - New command GROUP_COUNTING_BY_COORDINATES from /127.0.0.1:65309.
2020-04-17 14:30:01.319 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.319 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.319 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.320 [Thread-2] INFO  ServerWorker - New command SHOW from /127.0.0.1:65309.
2020-04-17 14:30:01.320 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.320 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.321 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.322 [Thread-2] INFO  ServerWorker - New command PRINT_FIELD_DESCENDING_PRICE from /127.0.0.1:65309.
2020-04-17 14:30:01.322 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.322 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.323 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.324 [Thread-2] INFO  ServerWorker - New command HELP from /127.0.0.1:65309.
2020-04-17 14:30:01.324 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.324 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.324 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.326 [Thread-2] INFO  ServerWorker - New command HELP from /127.0.0.1:65309.
2020-04-17 14:30:01.326 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.326 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.326 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.328 [Thread-2] INFO  ServerWorker - New command CHECK from /127.0.0.1:65309.
2020-04-17 14:30:01.328 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.328 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.328 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.333 [Thread-2] INFO  ServerWorker - New command CHECK from /127.0.0.1:65309.
2020-04-17 14:30:01.333 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.334 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.334 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.338 [Thread-2] INFO  ServerWorker - New command CHECK from /127.0.0.1:65309.
2020-04-17 14:30:01.338 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.338 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.338 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.344 [Thread-2] INFO  ServerWorker - New command ADD_IF_MIN from /127.0.0.1:65309.
2020-04-17 14:30:01.344 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.344 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.344 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.345 [Thread-2] INFO  ServerWorker - New command ADD_IF_MIN from /127.0.0.1:65309.
2020-04-17 14:30:01.345 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.345 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.345 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.347 [Thread-2] INFO  ServerWorker - New command PRINT_FIELD_DESCENDING_PRICE from /127.0.0.1:65309.
2020-04-17 14:30:01.347 [Thread-2] INFO  ServerWorker - Command complete.
